post_id,title,category,score,num_comments,author,collected_at,title_length,engagement,score_per_comment,rank_in_category
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,179,89,jrandolf,2026-04-06 03:42:35,72,268,1.988888888888889,6.0
47625952,Show HN: I built a frontpage for personal blogs,entertainment,768,193,ramkarthikk,2026-04-06 03:42:35,47,961,3.9587628865979383,1.0
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 03:42:35,74,28,4.8,9.0
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,215,142,pseudolus,2026-04-06 03:42:35,69,357,1.5034965034965035,4.0
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,0,bryantwolf,2026-04-06 03:42:35,68,6,6.0,11.5
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,726,150,franze,2026-04-06 03:42:35,48,876,4.80794701986755,2.0
47649904,Will there still be professional software developers?,worldnews,4,1,gradys,2026-04-06 03:42:35,53,5,2.0,21.0
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 03:42:35,35,34,0.9444444444444444,9.0
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 03:42:35,72,26,1.7,16.0
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,70,39,1659447091,2026-04-06 03:42:35,59,109,1.75,8.0
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,160,6,teamchong,2026-04-06 03:42:35,70,166,22.857142857142858,7.0
47653816,UK intelligence censored report on global warming and homeland security,worldnews,90,47,ewidar,2026-04-06 03:42:35,71,137,1.875,7.0
47648593,Show HN: Beautiful intuitive weather forecasts that don't rely on numbers/units,entertainment,3,8,Leftium,2026-04-06 03:42:35,79,11,0.3333333333333333,25.0
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 03:42:35,26,139,2.255813953488372,5.0
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,545,182,detaro,2026-04-06 03:42:35,80,727,2.978142076502732,3.0
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,24,10,throw0101c,2026-04-06 03:42:35,45,34,2.1818181818181817,8.0
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 03:42:35,47,125,1.032258064516129,7.0
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 03:42:35,64,196,3.282608695652174,4.0
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",entertainment,19,17,bring-shrubbery,2026-04-06 03:42:35,76,36,1.0555555555555556,20.5
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 03:42:35,39,796,2.831730769230769,2.0
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 03:42:35,48,1146,2.133879781420765,2.0
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,61,6,xbmcuser,2026-04-06 03:42:35,75,67,8.714285714285714,16.0
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,52,52,luca-ctx,2026-04-06 03:42:35,55,104,0.9811320754716981,17.0
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,11,0,Jet_Xu,2026-04-06 03:42:35,71,11,11.0,23.5
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,193,75,MaximilianEmel,2026-04-06 03:42:35,74,268,2.539473684210526,5.0
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 03:42:35,75,58,3.9166666666666665,9.0
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,118,kasparnoor,2026-04-06 03:42:35,69,270,1.2773109243697478,10.0
47643637,Show HN: Dev Personality Test,entertainment,11,3,4m1rk,2026-04-06 03:42:35,29,14,2.75,23.5
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 03:42:35,79,8,8.0,10.0
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 03:42:35,70,8,2.0,20.0
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 03:42:35,69,69,1.8,10.0
47604155,SpaceX files to go public,science,398,575,nutjob2,2026-04-06 03:42:35,25,973,0.6909722222222222,1.0
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 03:42:35,70,444,1.9865771812080537,3.0
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 03:42:35,41,9,2.3333333333333335,18.5
